EasyNumber;CompagnyName;CompagnyName2;Pays
00000480890174;IMAGENES MERCADEO Y SISTEMAS S.A.;IMAGENES+MERCADEO+Y+SISTEMAS+S.A.;ARG
00001503739940;SOC CHAUFFEURS MECANIC AUTOS STRASBOURG;SOC+CHAUFFEURS+MECANIC+AUTOS+STRASBOURG;FRA
00000531463820;ORILLIA SOLDIERS MEMORIAL HOSPITAL;ORILLIA+SOLDIERS+MEMORIAL+HOSPITAL;CAN
00000473119937;PROMINENT APPAREL COMPANY OF AMERICA RANDOLPH DUKE;PROMINENT+APPAREL+COMPANY+OF+AMERICA+RANDOLPH+DUKE;USA
00000452437170;BASTIR CONSTRUCTORA CATALANA SA;BASTIR+CONSTRUCTORA+CATALANA+SA;ESP
00000467473301;LA FORTUNA CHINA SOCIEDAD LIMITADA;LA+FORTUNA+CHINA+SOCIEDAD+LIMITADA;ESP
00000140560148;R.S. DEVELOPPEMENT ETUDE ET REALISATION;R.S.+DEVELOPPEMENT+ETUDE+ET+REALISATION;FRA
00001864655451;AUTO CONTROLE TECHNIQUE DE BEL AIR;AUTO+CONTROLE+TECHNIQUE+DE+BEL+AIR;FRA
00000243908368;A.J. PLAISIER INTERIEURVERZORGING B.V.;A.J.+PLAISIER+INTERIEURVERZORGING+B.V.;NLD
00000374572913;R. S CARPETS AND FURNITURE LIMITED;R.+S+CARPETS+AND+FURNITURE+LIMITED;GBR
00000582972509;ASSO DE GESTION DE LA DOCTRINE CHRETIENN LYCEE PRIVE DOCTRINE;ASSO+DE+GESTION+DE+LA+DOCTRINE+CHRETIENN+LYCEE+PRIVE+DOCTRINE;FRA
00001055786457;CONDE NAST VERLAG GMBH VOGUE ALLEMAND;CONDE+NAST+VERLAG+GMBH+VOGUE+ALLEMAND;FRA
00001612835162;VOUZELLAUD VERONIQUE NEE MUNDWEILER;VOUZELLAUD+VERONIQUE+NEE+MUNDWEILER;FRA
00000362318834;CONTROLE PROFISSIONAL DE LIMPEZA LTDA;CONTROLE+PROFISSIONAL+DE+LIMPEZA+LTDA;BRA
00000343822452;AGENZIA ROSSELLA DI GUARDIANI ROSSELLA;AGENZIA+ROSSELLA+DI+GUARDIANI+ROSSELLA;ITA
00000448267755;SOCIEDAD EXTREMEÑA DE CALEFACCION SA;SOCIEDAD+EXTREMEÑA+DE+CALEFACCION+SA;ESP
00000483904673;SOFA BRANDS INTERNATIONAL LIMITED;SOFA+BRANDS+INTERNATIONAL+LIMITED;GBR
00000495140619;O.A.S.I SRL - ORGANIZZAZIONE E SIST. INFORMATIVI IN LIQUIDAZIONE;O.A.S.I+SRL+-+ORGANIZZAZIONE+E+SIST.+INFORMATIVI+IN+LIQUIDAZIONE;ITA
00000083037814;SOCIETE EUROPEENNE POUR L EQUIPEMENT DE L HABITAT;SOCIETE+EUROPEENNE+POUR+L+EQUIPEMENT+DE+L+HABITAT;FRA
00000343820280;TEMPO E COMUNICAZIONE DI BATTISTEL GIOVANNA E C. S.A.S.;TEMPO+E+COMUNICAZIONE+DI+BATTISTEL+GIOVANNA+E+C.+S.A.S.;ITA
00000345477116;CABRILLO ECONOMIC DEVELOPMENT CORPORATIO;CABRILLO+ECONOMIC+DEVELOPMENT+CORPORATIO;USA
00000324765053;MODERNE BUREAUTIQUE INFORMATIQUE SERVICEMOBIS;MODERNE+BUREAUTIQUE+INFORMATIQUE+SERVICEMOBIS;DZA
00000278838649;HT Wohnbaukeramik GmbH in Liquidation;HT+Wohnbaukeramik+GmbH+in+Liquidation;CHE
00001266728383;MAISON DE RETRAITE STE GENEVIEVE;MAISON+DE+RETRAITE+STE+GENEVIEVE;FRA
00000520630240;OTTOWEL ELECTRIC ELECTRICAL AND HARDWARE;OTTOWEL+ELECTRIC+ELECTRICAL+AND+HARDWARE;ZAF
00000291226227;ALLIED MARKETING ENTERPRISES CO LTD;ALLIED+MARKETING+ENTERPRISES+CO+LTD;THA
00000478625549;GENERAL PLASTICS SOCIEDAD ANONIMA;GENERAL+PLASTICS+SOCIEDAD+ANONIMA;ARG
00000362322875;PLASTCOM INDUSTRIA E COMERCIO DE PLASTICOS LTDA;PLASTCOM+INDUSTRIA+E+COMERCIO+DE+PLASTICOS+LTDA;BRA
00000520627865;OTTER INDUSTRIES BK RATEL INDUSTRIES;OTTER+INDUSTRIES+BK+RATEL+INDUSTRIES;ZAF
00000520627663;OTSWELA BUILDING AND PLUMBING SUPPLIERS;OTSWELA+BUILDING+AND+PLUMBING+SUPPLIERS;ZAF
00001742202554;S A R L INSTALLATION TECHNIQUE MAINTENANCE SERVICES;S+A+R+L+INSTALLATION+TECHNIQUE+MAINTENANCE+SERVICES;FRA
00000121404658;MICHEL BURTON COMMUNICATION - M.B.C.;MICHEL+BURTON+COMMUNICATION+-+M.B.C.;FRA
00000495150165;I.W.S. INOX WELDING SOLUTIONS S.R.L. ABBREVIABILE IN: I.W.S. S.R.L.;I.W.S.+INOX+WELDING+SOLUTIONS+S.R.L.+ABBREVIABILE+IN:+I.W.S.+S.R.L.;ITA
00000059823980;SOCIETE D EXPLOITATION DE BIJOUX FANTAISIE EN ABREGE : SEBFA;SOCIETE+D+EXPLOITATION+DE+BIJOUX+FANTAISIE+EN+ABREGE+:+SEBFA;FRA
00000473120443;SAVEUR CADEAU INC CADEAU FRENCH PACKAGING;SAVEUR+CADEAU+INC+CADEAU+FRENCH+PACKAGING;USA
00000122118418;ETABLISSEMENTS MAURICE FRANCOIS;ETABLISSEMENTS+MAURICE+FRANCOIS;FRA
00002059550337;ASS GRANDE MASSE ECOLE NATIONALE;ASS+GRANDE+MASSE+ECOLE+NATIONALE;FRA
00000148732446;PERFECTION AUTOMATISERINGEN B.V.;PERFECTION+AUTOMATISERINGEN+B.V.;NLD
00001329834065;DISSEL INSTALLATIETECHNIEK B.V.;DISSEL+INSTALLATIETECHNIEK+B.V.;NLD
00000148540609;SYNCHRO PROJECT ENGINEERING B.V.;SYNCHRO+PROJECT+ENGINEERING+B.V.;NLD
00001849377024;GPT PARAMEDICAL COSTANTINI INNOCENTI;GPT+PARAMEDICAL+COSTANTINI+INNOCENTI;FRA
00000374576650;WAINWRIGHT ELECTRICAL SERVICES LIMITED;WAINWRIGHT+ELECTRICAL+SERVICES+LIMITED;GBR
00000495206029;L.P.L. LAVORAZIONE PIEGATURA LATTONERIE S.R.L.;L.P.L.+LAVORAZIONE+PIEGATURA+LATTONERIE+S.R.L.;ITA
00002070769864;Schifffahrt am Wolfgangsee GmbH;Schifffahrt+am+Wolfgangsee+GmbH;AUT
00000452436059;ANTILLAS ASESORES INMOBILIARIOS SA;ANTILLAS+ASESORES+INMOBILIARIOS+SA;ESP
00000362316561;RENNAN COMERCIO DE FERRAGENS ACESSORIOS PARA MOVEIS LTDA;RENNAN+COMERCIO+DE+FERRAGENS+ACESSORIOS+PARA+MOVEIS+LTDA;BRA
00000126096551;BOIS NATURE ET CONSTRUCTIONS SARL;BOIS+NATURE+ET+CONSTRUCTIONS+SARL;FRA
00002358671361;NATIONAL MARKET TRADERS FEDERATION;NATIONAL+MARKET+TRADERS+FEDERATION;GBR
00001037356446;ALLEVAMENTO BESTIAME DI CORNACCHIONE NICOLA E TACCARELLA FRANCESC O E C. - SOCIETA' IN NOME COLLETTIVO;ALLEVAMENTO+BESTIAME+DI+CORNACCHIONE+NICOLA+E+TACCARELLA+FRANCESC+O+E+C.+-+SOCIETA'+IN+NOME+COLLETTIVO;ITA
00000344124352;PHARMACY FRAGRANCE DISTRIBUTORS PTY LTD;PHARMACY+FRAGRANCE+DISTRIBUTORS+PTY+LTD;AUS
00000167253174;CIE AFFRETEMENTS ROUTIER MARITIME;CIE+AFFRETEMENTS+ROUTIER+MARITIME;FRA
00005378444368;ARTRADE SOLUCIONES INTEGRALES SOCIEDAD LIMITADA;ARTRADE+SOLUCIONES+INTEGRALES+SOCIEDAD+LIMITADA;ESP
00000457684625;CATALANA D'OBRES I SERVEIS ELECTRICS SA.;CATALANA+D'OBRES+I+SERVEIS+ELECTRICS+SA.;ESP
00000457684423;FABRICADOS BEYLAR XXI SOCIEDAD ANONIMA EN LIQUIDACION;FABRICADOS+BEYLAR+XXI+SOCIEDAD+ANONIMA+EN+LIQUIDACION;ESP
00003500739755;SERKI INSTALACIONES Y SERVICIOS SL;SERKI+INSTALACIONES+Y+SERVICIOS+SL;ESP
00000127486793;SOCIETE INDUSTRIELLE COMMERCIALE POUR L AUTOMOBILE;SOCIETE+INDUSTRIELLE+COMMERCIALE+POUR+L+AUTOMOBILE;FRA
00000451242554;GAL TURO E. RODRIGUEZ PALMA ...;GAL+TURO+E.+RODRIGUEZ+PALMA+...;ESP
00000213458696;MORARA S.R.L. UNIPERSONALE IN LIQUIDAZIONE;MORARA+S.R.L.+UNIPERSONALE+IN+LIQUIDAZIONE;ITA
00001124413006;ETABLISSEMENT LE TIEC EQUIP ELEVAGE SOCIETE A;ETABLISSEMENT+LE+TIEC+EQUIP+ELEVAGE+SOCIETE+A;FRA
00005308661744;LASTPARTNER I OESTERGOETLAND AB;LASTPARTNER+I+OESTERGOETLAND+AB;SWE
00000377462450;JOHNSON WRIGHT (FLOORING) LIMITED;JOHNSON+WRIGHT+(FLOORING)+LIMITED;GBR
00000436671724;SOCIEDAD PUBLICA EUSKO TRENBIDEAK FERROCARRILES VASCOS SOCIEDAD ANONIMA;SOCIEDAD+PUBLICA+EUSKO+TRENBIDEAK+FERROCARRILES+VASCOS+SOCIEDAD+ANONIMA;ESP
00002022348814;DES VIANDES DE QUALITE DES HAUTS PAYS;DES+VIANDES+DE+QUALITE+DES+HAUTS+PAYS;FRA
00000130812436;SOCIETE D APPLICATION DES TECHNIQUES ELECTRIQUES;SOCIETE+D+APPLICATION+DES+TECHNIQUES+ELECTRIQUES;FRA
00000519485628;M C DUEROO M AND D ELECTRICAL SERVICES;M+C+DUEROO+M+AND+D+ELECTRICAL+SERVICES;ZAF
00001572725160;DUBOIS DUMEE ISABELLE NEE DUBOIS DUMEE;DUBOIS+DUMEE+ISABELLE+NEE+DUBOIS+DUMEE;FRA
00000143535047;BLANGINO SOPHIE BRIGITTE MICHELE;BLANGINO+SOPHIE+BRIGITTE+MICHELE;FRA
00000377343448;HUTCHINS DOMESTIC APPLIANCE SERVICES;HUTCHINS+DOMESTIC+APPLIANCE+SERVICES;GBR
00000412782670;FILIPE PINTO ALVES COUTO CARNEIRO;FILIPE+PINTO+ALVES+COUTO+CARNEIRO;PRT
00000295363669;ONTIME AUTOMOTIVE PROPERTY HOLDINGS LIMITED;ONTIME+AUTOMOTIVE+PROPERTY+HOLDINGS+LIMITED;GBR
00000566762673;GARDOISE DE BATIMENTS ET CONSTRUCTION;GARDOISE+DE+BATIMENTS+ET+CONSTRUCTION;FRA
00000122727570;GABRIEL MARIE-FRANCOISE nee BALAY;GABRIEL+MARIE-FRANCOISE+nee+BALAY;FRA
00005330325873;JOHANSSONS DELIKATESSER I SKANE KOMMANDITBOLAG;JOHANSSONS+DELIKATESSER+I+SKANE+KOMMANDITBOLAG;SWE
00000116660841;DEF LA DETECTION ELECTRONIQUE FRANCAISE DU VAL D OISE;DEF+LA+DETECTION+ELECTRONIQUE+FRANCAISE+DU+VAL+D+OISE;FRA
00005250696233;DRAGADOS SA COMSA SA FLOTA PROYECTOS SINGULARES SA UTE;DRAGADOS+SA+COMSA+SA+FLOTA+PROYECTOS+SINGULARES+SA+UTE;ESP
00000513114928;CONSEIL REGIONAL DE LA GUADELOUPE;CONSEIL+REGIONAL+DE+LA+GUADELOUPE;FRA
00000519489618;M F CONTRACTORS M F CONTRACTORS;M+F+CONTRACTORS+M+F+CONTRACTORS;ZAF
00005872836578;Østfyn VVS og Energiservice v/Hans Erik Stensgård Christensen;Østfyn+VVS+og+Energiservice+v/Hans+Erik+Stensgård+Christensen;DNK
00000103584709;S.D.A. DISCOUNT LA MEDITERRANEE;S.D.A.+DISCOUNT+LA+MEDITERRANEE;FRA
00004564125425;FARMACIA AGRICOLA DI BRUNO ROSSELLA;FARMACIA+AGRICOLA+DI+BRUNO+ROSSELLA;ITA
00005378527710;Ocean Living Garment Company Limited;Ocean+Living+Garment+Company+Limited;HKG
00001267070945;ANATOLE LEROY-BEAULIEU FABIENNE ALLAIRE HUISSIERS DE JUSTICE ASSOCIES;ANATOLE+LEROY-BEAULIEU+FABIENNE+ALLAIRE+HUISSIERS+DE+JUSTICE+ASSOCIES;FRA
00005709205036;JEGEN MARCEL VOSSCHEMIE LUXEMBOURG;JEGEN+MARCEL+VOSSCHEMIE+LUXEMBOURG;LUX
00001566778290;SOCIETE NOUVELLE DES ABATTOIRS (SOCIETE EN LIQUIDATION);SOCIETE+NOUVELLE+DES+ABATTOIRS+(SOCIETE+EN+LIQUIDATION);FRA
00005792989340;Thung Hua Sinn Printing Network Company Limited;Thung+Hua+Sinn+Printing+Network+Company+Limited;THA
00001987885852;CONSTRUCT AMAT AERONEFS AUXERRE JOIGNY;CONSTRUCT+AMAT+AERONEFS+AUXERRE+JOIGNY;FRA
00000443590662;FERROCARRIL METROPOLITA DE BARCELONA SA;FERROCARRIL+METROPOLITA+DE+BARCELONA+SA;ESP
00000451237149;NUCLEOS DE ORGANIZACION Y ADMINISTRACION SA;NUCLEOS+DE+ORGANIZACION+Y+ADMINISTRACION+SA;ESP
00000457680332;FRANCISCO MARTIN MARTIN SOCIEDAD ANONIMA;FRANCISCO+MARTIN+MARTIN+SOCIEDAD+ANONIMA;ESP
00000291792749;BROOKS INSTITUTE OF PHOTOGRAPHY;BROOKS+INSTITUTE+OF+PHOTOGRAPHY;USA
00000086354162;SARL APPLICATIONS BUREAUTIQUES DU CENTRE;SARL+APPLICATIONS+BUREAUTIQUES+DU+CENTRE;FRA
00000227450882;INTERNATIONAL FARMPRODUCTS HANDLING B.V.;INTERNATIONAL+FARMPRODUCTS+HANDLING+B.V.;NLD
00005759738271;PEAR (LUXEMBOURG) INVESTMENT SARL;PEAR+(LUXEMBOURG)+INVESTMENT+SARL;LUX
00000451244473;THYSSENKRUPP MATERIALS PROCESSING LAMINCER SOCIEDAD ANONIMA;THYSSENKRUPP+MATERIALS+PROCESSING+LAMINCER+SOCIEDAD+ANONIMA;ESP
00000225931383;HANDELMAATSCHAPPIJ H. JANSSEN B.V.;HANDELMAATSCHAPPIJ+H.+JANSSEN+B.V.;NLD
00005311376465;CHAMPAGNEHOUSE OF SCANDINAVIA AB;CHAMPAGNEHOUSE+OF+SCANDINAVIA+AB;SWE
00001062013053;COMPAGNIE EUROPEENNE DE PATES ET PAPIERS CEPAP ESPAÑA SL;COMPAGNIE+EUROPEENNE+DE+PATES+ET+PAPIERS+CEPAP+ESPAÑA+SL;ESP
00004173378334;CONSTRUCCIONES ESTRUCTURALES CARNY SL;CONSTRUCCIONES+ESTRUCTURALES+CARNY+SL;ESP
00000197407866;SERVIZI ENERGETICI E ILLUMINOTECNICI S.R.L. IN SIGLA SEIL S.R.L.;SERVIZI+ENERGETICI+E+ILLUMINOTECNICI+S.R.L.+IN+SIGLA+SEIL+S.R.L.;ITA
00000557520418;CAISSE ALLOCATIONS FAMILIALES DORDOGNE;CAISSE+ALLOCATIONS+FAMILIALES+DORDOGNE;FRA
00001870704957;SCM DES DOCTEURS FERRON ET GIARD;SCM+DES+DOCTEURS+FERRON+ET+GIARD;FRA
00005873503011;ALLERUP MULTIBYG V/MADS ASGER JOERGENSEN;ALLERUP+MULTIBYG+V/MADS+ASGER+JOERGENSEN;DNK
00000291782344;GLOWE-SMITH INDUSTRIAL INC G. S. I.;GLOWE-SMITH+INDUSTRIAL+INC+G.+S.+I.;USA
00005716277979;VANDEMOORTELE INTERNATIONAL REINSURANCE;VANDEMOORTELE+INTERNATIONAL+REINSURANCE;LUX
00001061958854;TALLERES TORRES Y REQUENA SOCIEDAD LIMITADA;TALLERES+TORRES+Y+REQUENA+SOCIEDAD+LIMITADA;ESP
00000410265646;Wassergenossenschaft Aichwald-Faakersee Süd;Wassergenossenschaft+Aichwald-Faakersee+Süd;AUT
00000227454367;CALPAM INTERNATIONAL PETROLEUM COMPANY HOLDING B.V.;CALPAM+INTERNATIONAL+PETROLEUM+COMPANY+HOLDING+B.V.;NLD
00004251650109;MICHAEL QUIRKE CONSTRUCTION LIMITED;MICHAEL+QUIRKE+CONSTRUCTION+LIMITED;IRL
00000377459267;SIEMENS TRANSPORTATION SYSTEMS LIMITED;SIEMENS+TRANSPORTATION+SYSTEMS+LIMITED;GBR
00000377460379;PRINCES SQUARE DEVELOPMENT LIMITED;PRINCES+SQUARE+DEVELOPMENT+LIMITED;GBR
00004253803661;Kuchelmeister Blechverarbeitung AG;Kuchelmeister+Blechverarbeitung+AG;CHE
00005843011416;Lilla Butiken i Råneå Handelsbolag;Lilla+Butiken+i+Råneå+Handelsbolag;SWE
00000322708025;MENDHAM TOWNSHIP BOARD OF EDUCATION 973-543-4804;MENDHAM+TOWNSHIP+BOARD+OF+EDUCATION+973-543-4804;USA
00000197409684;EDILPROGET 2000 DI ROSSI RAIMONDO;EDILPROGET+2000+DI+ROSSI+RAIMONDO;ITA
00000197411251;CERQUETTI GIANFRANCO E MASSIMO - SNC;CERQUETTI+GIANFRANCO+E+MASSIMO+-+SNC;ITA
00004235941839;ESCUDIER Laurence Simone Aimee nee MARAVAL;ESCUDIER+Laurence+Simone+Aimee+nee+MARAVAL;FRA
00000566754440;COMPAGNIE EUROPEENNE DE PROPRETE ET D'HYGIENE;COMPAGNIE+EUROPEENNE+DE+PROPRETE+ET+D'HYGIENE;FRA
00005723097564;LA PLANA AGRICOLA S.L. TEL : 964677000;LA+PLANA+AGRICOLA+S.L.+TEL+:+964677000;ESP
00000268405767;ALFA ELECTRIC S.N.C. DI CAMPIGLI E DONZELLI;ALFA+ELECTRIC+S.N.C.+DI+CAMPIGLI+E+DONZELLI;ITA
00000225927948;ALGEMENEBAK ET BAKKERS CENTRAL...;ALGEMENEBAK+ET+BAKKERS+CENTRAL...;NLD
00005378543419;ICT - Industrial Chemicals Trading Co. Limited;ICT+-+Industrial+Chemicals+Trading+Co.+Limited;HKG
00000590845988;RESER LA UNION SOCIEDAD LIMITADA;RESER+LA+UNION+SOCIEDAD+LIMITADA;ESP
00001234643949;SOCIETE D'EXPLOITATION DES ETABLISSEMENTS YVES LEVEAUX;SOCIETE+D'EXPLOITATION+DES+ETABLISSEMENTS+YVES+LEVEAUX;FRA
00000197387662;LA NUOVA ITIS DI ROVERSI AGOSTINO E C. S.N.C.;LA+NUOVA+ITIS+DI+ROVERSI+AGOSTINO+E+C.+S.N.C.;ITA
00000457680938;SUMINISTROS CERRAJEROS CASTALIA SL;SUMINISTROS+CERRAJEROS+CASTALIA+SL;ESP
00000451237654;COMERCIAL VIRGEN DE CANDELARIA SL;COMERCIAL+VIRGEN+DE+CANDELARIA+SL;ESP
00000246316140;CAFFE BAR LA CIUNGA DI ZAMBELLI SNC;CAFFE+BAR+LA+CIUNGA+DI+ZAMBELLI+SNC;ITA
00005722997250;VELASCO OBRAS Y SERVICIOS S. A. Y AUDECA S. L. UTE;VELASCO+OBRAS+Y+SERVICIOS+S.+A.+Y+AUDECA+S.+L.+UTE;ESP
00001481347049;CARROUGET STEPHANIE NEE BOIMARE;CARROUGET+STEPHANIE+NEE+BOIMARE;FRA
00005792994240;T.C.P. Industry Company Limited;T.C.P.+Industry+Company+Limited;THA
00000103110116;SALONS INTERNATIONAUX DE L'AERONAUTIQUE ET DE L'ESPACE;SALONS+INTERNATIONAUX+DE+L'AERONAUTIQUE+ET+DE+L'ESPACE;FRA
00000066952485;INGIENIERIE CUISINES SERVICES VENTE LOCATION;INGIENIERIE+CUISINES+SERVICES+VENTE+LOCATION;FRA
00000246313867;HO.TI.EN COSTRUZIONI - S.R.L. - G.M.B.H.;HO.TI.EN+COSTRUZIONI+-+S.R.L.+-+G.M.B.H.;ITA
00000414601846;FERNANDO ALMEIDA CORREIA DOS SANTOS;FERNANDO+ALMEIDA+CORREIA+DOS+SANTOS;PRT
00005294182943;INDO PAK DA ROCHA GOMES VERA EMA;INDO+PAK+DA+ROCHA+GOMES+VERA+EMA;SWE
00003438754643;ACCIONS INTERIORISME I FLORS SL;ACCIONS+INTERIORISME+I+FLORS+SL;ESP
00000435644447;Pool Distribution Sagl in liquidazione;Pool+Distribution+Sagl+in+liquidazione;CHE
00002329131176;FLOWERLAND GARDEN CENTERS OF CLEVELAND I;FLOWERLAND+GARDEN+CENTERS+OF+CLEVELAND+I;USA
00000295376852;GOODMAN REAL ESTATE DEVELOPMENTS (2003);GOODMAN+REAL+ESTATE+DEVELOPMENTS+(2003);GBR
00002329131782;MOREHEAD UTILITY PLANT BOARD TEL: 606 783-1502;MOREHEAD+UTILITY+PLANT+BOARD+TEL:+606+783-1502;USA
00005374296672;Key Equipment Finance Asia Limited;Key+Equipment+Finance+Asia+Limited;HKG
00000434104947;MONA LISA V/MONA HEDETOFT HARBOE;MONA+LISA+V/MONA+HEDETOFT+HARBOE;DNK
00005218064319;BUREAU TECHNIQUE DU DIAGNOSTIC IMMOBILIER;BUREAU+TECHNIQUE+DU+DIAGNOSTIC+IMMOBILIER;FRA
00003405266025;BABEL PRODUCCIONES Y MANAGEMENT SL;BABEL+PRODUCCIONES+Y+MANAGEMENT+SL;ESP
00000457684271;THINKFRUIT INGREDIENTS SOCIEDAD LIMITADA;THINKFRUIT+INGREDIENTS+SOCIEDAD+LIMITADA;ESP
00000225929867;MITSUBISHI ELECTRIC NETHERLANDS B.V.;MITSUBISHI+ELECTRIC+NETHERLANDS+B.V.;NLD
00000156242859;ALLIANCE INTERNATIONALE INFORMATIQUE;ALLIANCE+INTERNATIONALE+INFORMATIQUE;FRA
00000353145929;HEATHER SPENCER DESIGNS LIMITED;HEATHER+SPENCER+DESIGNS+LIMITED;GBR
00005873456642;MAXI RESTAURATIONSANPARTSSELSKAB;MAXI+RESTAURATIONSANPARTSSELSKAB;DNK
